;Properties;ITEM;ITEM TYPOLOGY;;;
SKILLS DMG;"- Increases Tempest Rush Damage by 10–15% (Monk Only)
- Increases Exploding Palm Damage by 10–15% (Monk Only)
- Increases Wave of Light Damage by 10–15% (Monk Only)
- Increases Lashing Tail Kick Damage by 10–15% (Monk Only)
- Increases Phalanx Damage by 10–15% (Crusader Only)
- Increases Blessed Hammer Damage by 10–15% (Crusader Only)
- Increases Blessed Shield Damage by 10–15% (Crusader Only)
- Increases Sweep Attack Damage by 10–15% (Crusader Only)
- Increases Fist of the Heavens Damage by 10–15% (Crusader Only)
- Increases Shield Bash Damage by 10–15% (Crusader Only)";Boj Anglers;Boots;A;;
SKILLS DMG;"- Increases Cluster Arrow Damage by 10–15% (Demon Hunter Only)
- Increases Multishot Damage by 10–15% (Demon Hunter Only)
- Increases Elemental Arrow Damage by 10–15% (Demon Hunter Only)
- Increases Strafe Damage by 10–15% (Demon Hunter Only)
- Increases Chakram Damage by 10–15% (Demon Hunter Only)
- Increases Rapid Fire Damage by 10–15% (Demon Hunter Only)
- Increases Impale Damage by 10–15% (Demon Hunter Only)
- Increases Whirlwind Damage by 10–15% (Barbarian Only)
- Increases Seismic Slam Damage by 10–15% (Barbarian Only)
- Increases Ancient Spear Damage by 10–15% (Barbarian Only)
- Increases Hammer of the Ancients Damage by 10–15% (Barbarian Only)
- Increases Meteor Damage by 10–15% (Wizard Only)
- Increases Disintegrate Damage by 10–15% (Wizard Only)
- Increases Energy Twister Damage by 10–15% (Wizard Only)
- Increases Arcane Torrent Damage by 10–15% (Wizard Only)
- Increases Wave of Force Damage by 10–15% (Wizard Only)
- Increases Arcane Orb Damage by 10–15% (Wizard Only)
- Increases Ray of Frost Damage by 10–15% (Wizard Only)
- Increases Acid Cloud Damage by 10–15% (Witch Doctor Only)
- Increases Spirit Barrage Damage by 10–15% (Witch Doctor Only)
- Increases Zombie Charger Damage by 10–15% (Witch Doctor Only)
- Increases Sacrifice Damage by 10–15% (Witch Doctor Only)
- Increases Firebats Damage by 10–15% (Witch Doctor Only)";Boj Anglers;Boots;A;;
SKILLS DMG;"- Increases Tempest Rush Damage by 10–15% (Monk Only)
- Increases Exploding Palm Damage by 10–15% (Monk Only)
- Increases Wave of Light Damage by 10–15% (Monk Only)
- Increases Lashing Tail Kick Damage by 10–15% (Monk Only)
- Increases Phalanx Damage by 10–15% (Crusader Only)
- Increases Blessed Hammer Damage by 10–15% (Crusader Only)
- Increases Blessed Shield Damage by 10–15% (Crusader Only)
- Increases Sweep Attack Damage by 10–15% (Crusader Only)
- Increases Fist of the Heavens Damage by 10–15% (Crusader Only)
- Increases Shield Bash Damage by 10–15% (Crusader Only)";Vyr's Swaggering Stance;Boots;A;;
SKILLS DMG;"- Increases Cluster Arrow Damage by 10–15% (Demon Hunter Only)
- Increases Multishot Damage by 10–15% (Demon Hunter Only)
- Increases Elemental Arrow Damage by 10–15% (Demon Hunter Only)
- Increases Strafe Damage by 10–15% (Demon Hunter Only)
- Increases Chakram Damage by 10–15% (Demon Hunter Only)
- Increases Rapid Fire Damage by 10–15% (Demon Hunter Only)
- Increases Impale Damage by 10–15% (Demon Hunter Only)
- Increases Whirlwind Damage by 10–15% (Barbarian Only)
- Increases Seismic Slam Damage by 10–15% (Barbarian Only)
- Increases Ancient Spear Damage by 10–15% (Barbarian Only)
- Increases Hammer of the Ancients Damage by 10–15% (Barbarian Only)
- Increases Meteor Damage by 10–15% (Wizard Only)
- Increases Disintegrate Damage by 10–15% (Wizard Only)
- Increases Energy Twister Damage by 10–15% (Wizard Only)
- Increases Arcane Torrent Damage by 10–15% (Wizard Only)
- Increases Wave of Force Damage by 10–15% (Wizard Only)
- Increases Arcane Orb Damage by 10–15% (Wizard Only)
- Increases Ray of Frost Damage by 10–15% (Wizard Only)
- Increases Acid Cloud Damage by 10–15% (Witch Doctor Only)
- Increases Spirit Barrage Damage by 10–15% (Witch Doctor Only)
- Increases Zombie Charger Damage by 10–15% (Witch Doctor Only)
- Increases Sacrifice Damage by 10–15% (Witch Doctor Only)
- Increases Firebats Damage by 10–15% (Witch Doctor Only)";Vyr's Swaggering Stance;Boots;A;;
SLAVES;BONUS Chance to summon horrific Mimics when attacking;The Grin Reaper (Witch Doctor);Voodoo Mask;A;;
SLAVES;BONUS Chance to summon a ghostly Fallen Champion when attacking;Genzaniku;Axe;W;;
SLAVES;BONUS Chance on hit to summon a Demonic Slave;Maximus;Sword 2H;W;;
SLAVES;BONUS Summons a Fallen Lunatic to your side every 10–12 seconds;Nagelring;Ring;A;;
SLAVES;BONUS Chance on kill to raise a skeleton to fight for you. Upon accumulating 5 skeletons, they each explode for 1000% weapon damage and the sword transforms into Ashbringer for a short time. Attacking with Ashbringer burns your enemy for 5000–6000% weapon damage as Holy;Corrupted Ashbringer;Sword 2H;W;;
SLAVES;BONUS After earning a massacre bonus, 4–6 Skeletons are summoned to fight by your side for 10 seconds;Golden Gorget of Leoric (Horadric Cache);Amulet;A;;
SLOW;15-25% Chance to Slow on Hit;Rabid Strike (Monk);Fist Weapon;W;;
SMITE;BONUS Slain enemies rest in pieces;Sever;Sword;W;;
SOCKET;Empty Socket (1);Natalya's Reflection;Ring;A;;
SOCKET;Empty Socket (1);Restraint;Ring;A;;
SOCKET;Empty Socket (1);Focus;Ring;A;;
SOCKET;Empty Socket (1);Zunimassa's Pox;Ring;A;;
SOCKET;Empty Socket (1);Sunwuko's Shines;Amulet;A;;
SOCKET;Empty Socket (1);Ahavarion, Spear of Lycander;Staff;W;;
SOCKET;Empty Socket (1);Arreat's Law;Spear;W;;
SOCKET;Empty Socket (1);Baleful Remnant (Crusader);Flail 2H;W;;
SOCKET;Empty Socket (1);Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
SOCKET;Empty Socket (1);Blade of the Warlord (Barbarian);Mighty Weapon;W;;
SOCKET;Empty Socket (1);Bul-Kathos's Solemn Vow (Barbarian);Mighty Weapon;W;;
SOCKET;Empty Socket (1);Bul-Kathos's Warrior Blood (Barbarian);Mighty Weapon;W;;
SOCKET;Empty Socket (1);Burst of Wrath (Horadric Cache);Axe 2H;W;;
SOCKET;Empty Socket (1);Crown of the Invoker;Helm;A;;
SOCKET;Empty Socket (1);Deathseer's Cowl;Helm;A;;
SOCKET;Use this item and select an unsocketed weapon to add a socket. This item is destroyed in the process;Ramaladni's Gift;Consumable;A;;
SOCKET;Empty Socket (1);Eye of Peshkow (Monk);Spirit Stone;A;;
SOCKET;Empty Socket (1);Eyes of Earth;Helm;A;;
SOCKET;Empty Socket (1);Firebird's Plume (Wizard);Helm;A;;
SOCKET;Empty Socket (1);Gyana Na Kashu (Monk);Spirit Stone;A;;
SOCKET;Empty Socket (1);Hack;Axe;W;;
SOCKET;Empty Socket (1);Hellrack;Crossbow;W;;
SOCKET;Empty Socket (1);Helltooth Mask (Witch Doctor);Helm;A;;
SOCKET;Empty Socket (1);Helm of Akkhan (Crusader);Helm;A;;
SOCKET;Empty Socket (1);Immortal King's Triumph;Helm;A;;
SOCKET;Empty Socket (1);Inna's Radiance (Monk);Spirit Stone;A;;
SOCKET;Empty Socket (1);Inviolable Faith (Crusader);Flail;W;;
SOCKET;Empty Socket (1);Jade Harvester's Wisdom;Helm;A;;
SOCKET;Empty Socket (1);Justinian's Mercy (Crusader);Flail;W;;
SOCKET;Empty Socket (1);K'Mar Tenclip (Demon Hunter);Hand Crossbow;W;;
SOCKET;Empty Socket (1);Kridershot;Bow;W;;
SOCKET;Empty Socket (1);Manticore;Crossbow;W;;
SOCKET;Empty Socket (1);Marauder's Visage (Demon Hunter);Helm;A;;
SOCKET;Empty Socket (1);Mask of Jeram (Witch Doctor);Voodoo Mask;A;;
SOCKET;Empty Socket (1);Mask of the Searing Sky (Monk);Helm;A;;
SOCKET;Empty Socket (1);Mempo of Twilight;Helm;A;;
SOCKET;Empty Socket (1);Natalya's Sight;Helm;A;;
SOCKET;Empty Socket (1);Raekor's Will (Barbarian);Helm;A;;
SOCKET;Empty Socket (1);Roland's Visage (Crusader);Helm;A;;
SOCKET;Empty Socket (1);Sage's Apogee;Helm;A;;
SOCKET;Empty Socket (1);Scourge;Sword 2H;W;;
SOCKET;Empty Socket (1);Skorn;Axe 2H;W;;
SOCKET;Empty Socket (1);Skull of Resonance;Helm;A;;
SOCKET;Empty Socket (1);Solanium;Mace;W;;
SOCKET;Empty Socket (1);Staff of Kyro (Monk);Daibo;W;;
SOCKET;Empty Socket (1);Standoff;Polearm;W;;
SOCKET;Empty Socket (1);Sunwuko's Crown;Helm;A;;
SOCKET;Empty Socket (1);Tal Rasha's Guise of Wisdom;Helm;A;;
SOCKET;Empty Socket (1);The Broken Staff;Staff;W;;
SOCKET;Empty Socket (1);The Grin Reaper (Witch Doctor);Voodoo Mask;A;;
SOCKET;Empty Socket (1);The Laws of Seph (Monk);Spirit Stone;A;;
SOCKET;Empty Socket (1);The Magistrate (Wizard);Wizard Hat;A;;
SOCKET;Empty Socket (1);The Mind's Eye (Monk);Spirit Stone;A;;
SOCKET;Empty Socket (1);The Slanderer;Sword;W;;
SOCKET;Empty Socket (1);The Smoldering Core;Staff;W;;
SOCKET;Empty Socket (1);Thunderfury, Blessed Blade of the Windseeker;Sword;W;;
SOCKET;Empty Socket (1);Valthek's Rebuke;Staff;W;;
SOCKET;Empty Socket (1);Velvet Camaral (Wizard);Wizard Hat;A;;
SOCKET;Empty Socket (1);Warmonger;Sword 2H;W;;
SOCKET;Empty Socket (1);Wojahnni Assaulter;Crossbow;W;;
SOCKET;Empty Socket (1);Zunimassa's Vision (Witch Doctor);Voodoo Mask;A;;
SOCKET;Empty Socket (1);Broken Crown;Helm;A;;
SOCKET;Empty Socket (1);Accursed Visage (Demon Hunter);Helm;A;;
SOCKET;Empty Socket (1);Helm of the Wastes (Barbarian);Helm;A;;
SOCKET;Empty Socket (1);Shrouded Mask (Wizard);Helm;A;;
SOCKET;Empty Socket (1);Crown of the Primus (Wizard);Wizard Hat;A;;
SOCKET;Empty Socket (1);Halo of Arlyse (Season 2);Ring;A;;
SOCKET;Empty Socket (1);Convention of Elements;Ring;A;;
SOCKETS;Empty Sockets (2);Beckon Sail (Demon Hunter);Cloak;A;;
SOCKETS;Empty Sockets (2);Blackfeather (Demon Hunter);Cloak;A;;
SOCKETS;Empty Sockets (2);Blackthorne's Jousting Mail;Pants;A;;
SOCKETS;Empty Sockets (2);Cuisses of Akkhan (Crusader);Pants;A;;
SOCKETS;Empty Sockets (2);Firebird's Down (Wizard);Pants;A;;
SOCKETS;Empty Sockets (3);Blackthorne's Surcoat;Chest Armor;A;;
SOCKETS;Empty Sockets (2);Helltooth Leg Guards (Witch Doctor);Pants;A;;
SOCKETS;Empty Sockets (3);Breastplate of Akkhan (Crusader);Chest Armor;A;;
SOCKETS;Empty Sockets (3);Firebird's Breast (Wizard);Chest Armor;A;;
SOCKETS;Empty Sockets (2);Inna's Temperance;Pants;A;;
SOCKETS;Empty Sockets (3);Heart of the Crashing Wave (Monk);Chest Armor;A;;
SOCKETS;Empty Sockets (2);Jade Harvester's Courage;Pants;A;;
SOCKETS;Empty Sockets (3);Helltooth Tunic (Witch Doctor);Chest Armor;A;;
SOCKETS;Empty Sockets (3);Immortal King's Eternal Reign;Chest Armor;A;;
SOCKETS;Empty Sockets (2);Marauder's Encasement (Demon Hunter);Pants;A;;
SOCKETS;Empty Sockets (3);Natalya's Embrace (Demon Hunter);Cloak;A;;
SOCKETS;Empty Sockets (2);Raekor's Breeches (Barbarian);Pants;A;;
SOCKETS;Empty Sockets (3);Inna's Vast Expanse;Chest Armor;A;;
SOCKETS;Empty Sockets (3);Jade Harvester's Peace;Chest Armor;A;;
SOCKETS;Empty Sockets (2);Roland's Determination (Crusader);Pants;A;;
SOCKETS;Empty Sockets (2);Scales of the Dancing Serpent (Monk);Pants;A;;
SOCKETS;Empty Sockets (3);Marauder's Carapace (Demon Hunter);Chest Armor;A;;
SOCKETS;Empty Sockets (3);Raekor's Heart (Barbarian);Chest Armor;A;;
SOCKETS;Empty Sockets (2);The Shadow's Coil;Pants;A;;
SOCKETS;Empty Sockets (3);Roland's Bearing (Crusader);Chest Armor;A;;
SOCKETS;Empty Sockets (2);Vyr's Fantastic Finery;Pants;A;;
SOCKETS;Empty Sockets (2);Weight of the Earth;Pants;A;;
SOCKETS;Empty Sockets (3);Tal Rasha's Relentless Pursuit;Chest Armor;A;;
SOCKETS;Empty Sockets (3);The Shadow's Bane;Chest Armor;A;;
SOCKETS;Empty Sockets (3);Vyr's Astonishing Aura;Chest Armor;A;;
SOCKETS;Empty Sockets (3);Zunimassa's Marrow;Chest Armor;A;;
SOCKETS;Empty Sockets (3);Cuirass of the Wastes (Barbarian);Chest Armor;A;;
SOCKETS;Empty Sockets (3);Harness of Truth (Wizard);Chest Armor;A;;
SOCKETS;Empty Sockets (3);Cage of the Hellborn (Demon Hunter);Cloak;A;;
SOCKETS;Empty Sockets (2);Immortal King's Stature;Pants;A;;
SOCKETS;Empty Sockets (2);Natalya's Leggings;Pants;A;;
SOCKETS;Empty Sockets (2);Tal Rasha's Stride;Pants;A;;
SOCKETS;Empty Sockets (2);Zunimassa's Cloth;Pants;A;;
SOCKETS;Empty Sockets (2);Leg Guards of Mistery (Wizard);Pants;A;;
SOCKETS;Empty Sockets (2);Tasset of the Wastes (Barbarian);Pants;A;;
SOCKETS;Empty Sockets (2);Unholy Plates (Demon Hunter);Pants;A;;
SPINE;BONUS Chance on being hit to deal 1000% of your Thorns damage to nearby enemies;Sanguinary Vambraces (Horadric Cache);Bracers;A;;
SPIRIT;BONUS Damaging enemies has a chance to grant you an effect that removes the Spirit cost of your abilities for 2–4 seconds;Kekegi's Unbreakable Spirit (Monk);Spirit Stone;A;;
SPIRIT REG;BONUS Your Spirit Generators generate 40–50% more Spirit;Band of the Rue Chambers;Ring;A;;
SPIRIT REG;Increases Spirit Regeneration by 2,20-3,00 per Second;Holy Beacon;Amulet;A;;
SPIRIT REG;Increases Spirit Regeneration by 2,20-3,00 per Second;The Fist of Az'Turrasq (Monk);Fist Weapon;W;;
SPIRIT REG;BONUS Inner Sanctuary increases Spirit Regeneration per second by 10–15;The Mind's Eye (Monk);Spirit Stone;A;;
STR;Strength +626-750;Akarat's Awakening (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Ambo's Pride (Barbarian);Mighty Weapon;W;;
STR;Strength +946-1125;Bastion's Revered (Barbarian);Mighty Weapon 2H;W;;
STR;Strength +626-750;Blade of the Warlord (Barbarian);Mighty Weapon;W;;
STR;Strength +626-750;Bul-Kathos's Solemn Vow (Barbarian);Mighty Weapon;W;;
STR;Strength +626-750;Bul-Kathos's Warrior Blood (Barbarian);Mighty Weapon;W;;
STR;Strength +416-500;Chilanik's Chain (Barbarian);Mighty Belt;A;;
STR;Strength +416-500;Cuisses of Akkhan (Crusader);Pants;A;;
STR;Strength +626-750;Darklight (Crusader);Flail;W;;
STR;Strength +416-500;Dread Iron (Barbarian);Mighty Belt;A;;
STR;Strength +946-1125;Fate of the Fell (Crusader);Flail 2H;W;;
STR;Strength +626-750;Fjord Cutter (Barbarian);Mighty Weapon;W;;
STR;Strength +626-750;Frydehr’s Wrath (Crusader) (Season 1);Crusader Shield;A;;
STR;Strength +946-1125;Fury of the Vanished Peak (Barbarian);Mighty Weapon 2H;W;;
STR;Strength +626-750;Gauntlets of Akkhan (Crusader);Gloves;A;;
STR;Strength +416-500;Girdle of Giants (Barbarian);Mighty Belt;A;;
STR;Strength +946-1125;Golden Flense (Crusader);Flail 2H;W;;
STR;Strength +626-750;Gyrfalcon's Foote (Crusader);Flail;W;;
STR;Strength +626-750;Hallowed Bulwark (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Hellfire Amulet (Strength);Amulet;A;;
STR;Strength +626-750;Hellskull (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Helm of Akkhan (Crusader);Helm;A;;
STR;Strength +946-1125;Immortal King's Boulder Breaker (Barbarian);Mighty Weapon 2H;W;;
STR;Strength +416-500;Immortal King's Tribal Binding (Barbarian);Mighty Belt;A;;
STR;Strength +626-750;Jekangbord (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Kassar's Retribution (Crusader);Flail;W;;
STR;Strength +416-500;Kotuur's Brace (Barbarian);Mighty Belt;A;;
STR;Strength +416-500;Lamentation (Barbarian);Mighty Belt;A;;
STR;Strength +946-1125;Madawc's Sorrow (Barbarian);Mighty Weapon 2H;W;;
STR;Strength +416-500;Pauldrons of Akkhan (Crusader);Shoulders;A;;
STR;Strength +416-500;Pride of Cassius (Barbarian);Mighty Belt;A;;
STR;Strength +416-500;Raekor's Breeches (Barbarian);Pants;A;;
STR;Strength +416-500;Raekor's Burden (Barbarian);Shoulders;A;;
STR;Strength +416-500;Raekor's Striders (Barbarian);Boots;A;;
STR;Strength +626-750;Raekor's Will (Barbarian);Helm;A;;
STR;Strength +626-750;Raekor's Wraps (Barbarian);Gloves;A;;
STR;Strength +626-750;Remorseless (Barbarian) (Season 1);Mighty Weapon;W;;
STR;Strength +416-500;Roland's Determination (Crusader);Pants;A;;
STR;Strength +626-750;Roland's Grasp (Crusader);Gloves;A;;
STR;Strength +416-500;Roland's Mantle (Crusader);Shoulders;A;;
STR;Strength +416-500;Roland's Stride (Crusader);Boots;A;;
STR;Strength +626-750;Roland's Visage (Crusader);Helm;A;;
STR;Strength +416-500;Sabatons of Akkhan (Crusader);Boots;A;;
STR;Strength +626-750;Salvation (Crusader) (Horadric Cache);Crusader Shield;A;;
STR;Strength +626-750;Sublime Conviction (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Swiftmount (Crusader);Flail;W;;
STR;Strength +626-750;The Final Witness (Crusader);Crusader Shield;A;;
STR;Strength +946-1125;The Gavel of Judgment (Barbarian);Mighty Weapon 2H;W;;
STR;Strength +946-1125;The Mortal Drama (Crusader);Flail 2H;W;;
STR;Strength +416-500;The Undisputed Champion (Barbarian) (Season 2);Mighty Belt;A;;
STR;Strength +626-750;Unrelenting Phalanx (Crusader);Crusader Shield;A;;
STR;Strength +626-750;Helm of the Wastes (Barbarian);Helm;A;;
STR;Strength +416-500;Pauldrons of the Wastes (Barbarian);Shoulders;A;;
STR;Strength +416-500;Breastplate of Akkhan (Crusader);Chest Armor;A;;
STR;Strength +416-500;Raekor's Heart (Barbarian);Chest Armor;A;;
STR;Strength +416-500;Roland's Bearing (Crusader);Chest Armor;A;;
STR;Strength +416-500;Cuirass of the Wastes (Barbarian);Chest Armor;A;;
STR;Strength +626-750;Gauntlet of the Wastes (Barbarian);Gloves;A;;
STR;Strength +416-500;Tasset of the Wastes (Barbarian);Pants;A;;
STR;Strength +416-500;Sabaton of the Wastes (Barbarian);Boots;A;;
STUN;BONUS Zombie Dogs stuns enemies around them for 1.5 seconds when summoned;Anessazi Edge (Witch Doctor);Ceremonial Knife;W;;
STUN;1,0-5,0%  Chance to Stun on Hit;Dawn (Demon Hunter);Hand Crossbow;W;;
STUN;BONUS Increases duration of Stun effects by 20–25%;Dovu Energy Trap;Amulet;A;;
STUN;BONUS Stun enemies for 2 seconds the first time you hit them;Madawc's Sorrow (Barbarian);Mighty Weapon 2H;W;;
STUN;5-10% Chance to Stun on Hit;Nutcracker;Mace;W;;
STUN;30-50% Chance to Stun on Hit;Sledge Fist (Monk);Fist Weapon;W;;
STUN;BONUS When you block, you have up to a 15–20% chance to Stun the attacker for 1.5 seconds based on your current Wrath;Sublime Conviction (Crusader);Crusader Shield;A;;
STUN;BONUS Lightning damage has a 25–35% chance to Stun for 1.5 seconds;Wyrdward;Ring;A;;
SUNDER;BONUS 25–50% chance to sunder the ground your enemies walk on when you attack;Sunder;Mace 2H;W;;
THORNS;BONUS 75–100% of your Thorns damage is applied on every attack;Hack;Axe;W;;
UNDEAD;+15-30% Damage to Humans;Corrupted Ashbringer;Sword 2H;W;;
USELESS;BONUS This ring occasionally haunts nearby enemies;Band of Hollow Whispers;Ring;A;;
USELESS;BONUS Blood oozes from you;Blood-Magic Edge;Dagger;W;;
USELESS;BONUS The Butcher still inhabits his carver;Butcher's Carver;Axe 2H;W;;
USELESS;BONUS 25–50% chance to cluck when attacking (Chicken weapon damage increased from 100% to 500% - Enemies hit by the Chicken are now confused for 2 seconds);Cluckeye;Bow;W;;
USELESS;BONUS Squeal!;Pig Sticker;Dagger;W;;
USELESS;BONUS This wand finds your death humorous;Slorak's Madness (Wizard);Wand;W;;
USELESS;BONUS Slap!;The Paddle (Monk);Daibo;W;;
USELESS;BONUS A raven flies to your side;The Raven's Wing;Bow;W;;
WD;BONUS Your Poison Darts and your Fetishes' Poison Darts now pierce;The Dagger of Darts (Witch Doctor);Ceremonial Knife;W;;
WD PETS DMG;BONUS Pets deal 75-100% more damage;Mask of Jeram (Witch Doctor);Voodoo Mask;A;;
WD SKILL;BONUS Locust Swarm continuously plagues enemies around you;Wormwood (Season 2);Staff;W;;
WD SKILL;BONUS Your Fetishes shoot a Poison Dart every time you do;Carnevil (Witch Doctor);Voodoo Mask;A;;
WD SKILL;BONUS Grasp of the Dead gains the effect of the Rain of Corpses rune;Deadly Rebirth (Witch Doctor);Ceremonial Knife;W;;
WD SKILL;BONUS A Zombie Dog is automatically summoned to your side every 2 seconds;Homunculus (Witch Doctor);Mojo;A;;
WD SKILL;BONUS Plague of Toads now seek out enemies and can explode twice;Rhen'ho Flayer (Witch Doctor);Ceremonial Knife;W;;
WD SKILL;BONUS Soul Harvest now stacks up to 10 times;Sacred Harvester (Witch Doctor) (Season 1);Ceremonial Knife;W;;
WD SKILL;BONUS Spirit Walk lasts until you attack or until an enemy is within 30 yards of you;Shukrani's Triumph (Witch Doctor);Mojo;A;;
WD SKILL;BONUS Zombie Dogs instead summons a single gargantuan dog with more damage and health than all other dogs combined;The Tall Man's Finger;Ring;A;;
WD SKILL;BONUS Summon a Fetish Army after you kill 2 Elites;Visage of Giyua (Witch Doctor);Voodoo Mask;A;;
WD SKILL;BONUS Summon a Fetish Sycophant when you hit with a Mana spender;Belt of Transcendence;Belt;A;;
WD SKILL;BONUS Gargantuan instead summons three smaller gargantuans each more powerful than before;The Short Man's Finger;Ring;A;;
WD SKILL CDR;Reduces cooldown of Mass Confusion by 15–20 seconds;Last Breath (Witch Doctor);Ceremonial Knife;W;;
WD SKILL CDR;BONUS Reduce the cooldown of Fetish Army and Big Bad Voodoo by 1 second each time your fetishes deal damage;Starmetal Kukri (Witch Doctor);Ceremonial Knife;W;;
WD SKILL DMG;Increases Fetish Army Damage by 20–25%;Zunimassa's String of Skulls (Witch Doctor);Mojo;A;;
